"x";"y";"vx";"vy";"t"
-4.95071166666667;49.2279083333333;-12.2975605685578;-7.09999990463257;0
-4.98909;49.21312;-12.3841634392987;-7.15000009536744;444
-4.99233;49.2118933333333;-12.3841634392987;-7.15000009536744;486
-4.99642666666667;49.210325;-12.3841634392987;-7.15000009536744;527
-5.13748333333333;49.1556266666667;-12.3841634392987;-7.15000009536744;2160
-5.15109333333333;49.1504383333333;-12.5070619789138;-6.93277766199271;2315
-5.30385166666667;49.0923816666667;-12.4707654841334;-7.19999980926514;4052
-5.30437166666667;49.0922;-12.4707654841334;-7.19999980926514;4058
-5.308595;49.090605;-12.4707654841334;-7.19999980926514;4104
-5.30966166666667;49.0902016666667;-12.5573683548744;-7.25000000000001;4118
-5.31229333333333;49.0892233333333;-12.4707654841334;-7.19999980926514;4145
-5.31274166666667;49.0890533333333;-12.4707654841334;-7.19999980926514;4151
-5.31430666666667;49.088455;-12.4707654841334;-7.19999980926514;4169
-5.31492166666667;49.08822;-12.4707654841334;-7.19999980926514;4176
-5.31650166666667;49.0876233333333;-12.4707654841334;-7.19999980926514;4194
-5.31755666666667;49.0872233333333;-12.4707654841334;-7.19999980926514;4208
-5.31852833333333;49.0868566666667;-12.4707654841334;-7.19999980926514;4218
-5.31959166666667;49.0864516666667;-12.4707654841334;-7.19999980926514;4235
-5.32072333333333;49.08602;-12.4707654841334;-7.19999980926514;4241
-5.32484166666667;49.0844383333333;-12.4707654841334;-7.19999980926514;4290
-5.3265;49.0838033333333;-12.4707654841334;-7.19999980926514;4307
-5.32851833333333;49.0830366666667;-12.4707654841334;-7.19999980926514;4331
-5.32967333333333;49.082605;-12.4707654841334;-7.19999980926514;4346
-5.331235;49.082005;-12.4707654841334;-7.19999980926514;4361
-5.33168833333333;49.0818383333333;-12.4707654841334;-7.19999980926514;4368
-5.33543833333333;49.0803683333333;-12.4707654841334;-7.19999980926514;4410
-5.33901833333333;49.078985;-12.4707654841334;-7.19999980926514;4454
-5.34014833333333;49.078535;-12.4707654841334;-7.19999980926514;4464
-5.34747;49.0756733333333;-12.5573683548744;-7.25000000000001;4547
-5.34800333333333;49.0754566666667;-12.5573683548744;-7.25000000000001;4555
