"x";"y";"vx";"vy";"t"
-4.23659333333333;49.5134683333333;-12.2445906119306;-7.9517301189827;0
-4.24941333333333;49.5084566666667;-12.3815025273885;-7.73682145995295;145
-4.58196;49.378755;-12.2872806643349;-8.6036465452657;3813
-4.58787;49.3763116666667;-12.4355635883256;-8.38789355206121;3874
-4.714635;49.3241133333333;-12.8055265754667;-8.00178109206955;5290
-4.72794833333333;49.319105;-12.7207214423464;-7.94878896349808;5436
-4.72970833333333;49.3184516666667;-12.8055265754667;-8.00178109206955;5453
-4.73679333333333;49.3157866666667;-12.5800585191814;-8.1695855252254;5532
-4.738985;49.3149416666667;-12.5800585191814;-8.1695855252254;5557
-4.74008166666667;49.3145166666667;-12.5800585191814;-8.1695855252254;5572
-4.741725;49.3138766666667;-12.7207214423464;-7.94878896349808;5585
-4.74283166666667;49.313455;-12.7207214423464;-7.94878896349808;5599
-4.74559166666667;49.3124066666667;-12.7207214423464;-7.94878896349808;5629
-4.87492;49.2656033333333;-12.2445906119306;-7.9517301189827;7036
-4.875985;49.265195;-12.2445906119306;-7.9517301189827;7053
-4.87906666666667;49.26399;-12.1607232352086;-7.89726600771789;7085
-4.88180666666667;49.262925;-12.2445906119306;-7.9517301189827;7116
-4.88383;49.26213;-12.1607232352086;-7.89726600771789;7142
-4.88489;49.261715;-12.1607232352086;-7.89726600771789;7151
-4.887545;49.26068;-12.1607232352086;-7.89726600771789;7183
-4.88816166666667;49.2604416666667;-12.1607232352086;-7.89726600771789;7191
-4.89659166666667;49.2571783333333;-12.2445906119306;-7.9517301189827;7283
-4.898765;49.25632;-11.8552374456635;-7.99645862628927;7306
-4.900755;49.255525;-11.9381407285399;-8.0523775966636;7331
-4.90536333333333;49.2536583333333;-11.9929892815833;-7.78833830459654;7383
-4.906415;49.2532483333333;-12.0768558584867;-7.84280189645308;7396
-4.90851166666667;49.252425;-12.0768558584867;-7.84280189645308;7421
-4.911125;49.251395;-11.8552374456635;-7.99645862628927;7451
-4.91679333333333;49.24913;-11.9929892815833;-7.78833830459654;7517
-4.920025;49.2478566666667;-12.0768558584867;-7.84280189645308;7551
-4.92150666666667;49.247275;-12.0768558584867;-7.84280189645308;7575
-4.92317166666667;49.246625;-12.0768558584867;-7.84280189645308;7590
-4.92360666666667;49.2464516666667;-11.9381407285399;-8.0523775966636;7596
-4.92526166666667;49.245795;-11.9381407285399;-8.0523775966636;7613
-4.92726166666667;49.245;-12.0768558584867;-7.84280189645308;7639
-4.928835;49.2443766666667;-12.1607232352086;-7.89726600771789;7656
-4.92988666666667;49.2439633333333;-12.0210448020481;-8.10829710032584;7666
-4.93049666666667;49.2437233333333;-12.0210448020481;-8.10829710032584;7673
-4.93301833333333;49.2427166666667;-11.9381407285399;-8.0523775966636;7702
-4.93361333333333;49.242465;-11.8552374456635;-7.99645862628927;7711
-4.93507666666667;49.24187;-11.8552374456635;-7.99645862628927;7727
-4.93664166666667;49.2412483333333;-12.0768558584867;-7.84280189645308;7749
-4.93821666666667;49.2406333333333;-12.0768558584867;-7.84280189645308;7761
-4.93883666666667;49.240395;-12.1607232352086;-7.89726600771789;7773
-4.941905;49.2391866666667;-12.0210448020481;-8.10829710032584;7804
-4.94348166666667;49.2385633333333;-12.0210448020481;-8.10829710032584;7825
-4.94557833333333;49.2377316666667;-11.9381407285399;-8.0523775966636;7847
-4.94715166666667;49.2371066666667;-12.1607232352086;-7.89726600771789;7866
-4.94818666666667;49.23669;-12.1607232352086;-7.89726600771789;7881
-4.95084;49.235655;-12.3815025273885;-7.73682145995295;7906
-4.95137666666667;49.2354466666667;-12.3815025273885;-7.73682145995295;7912
-4.95190666666667;49.2352483333333;-12.2966973942682;-7.68382933138147;7918
-4.95243666666667;49.23505;-12.2966973942682;-7.68382933138147;7925
-4.95404;49.23446;-12.2966973942682;-7.68382933138147;7944
-4.95778333333333;49.23306;-12.5146429172342;-7.51955609015823;7983
-4.958855;49.2326566666667;-12.4289258601806;-7.46805208619579;7997
-4.96002333333333;49.23222;-12.4289258601806;-7.46805208619579;8011
-4.96155333333333;49.23166;-12.4289258601806;-7.46805208619579;8026
-4.962095;49.2314633333333;-12.5146429172342;-7.51955609015823;8032
-4.96426666666667;49.2306766666667;-12.5146429172342;-7.51955609015823;8057
-4.96915;49.2289133333333;-12.5146429172342;-7.51955609015823;8111
-4.97023666666667;49.2285283333333;-12.4289258601806;-7.46805208619579;8123
-4.97346333333333;49.227375;-12.2966973942682;-7.68382933138147;8159
-4.97559333333333;49.22659;-12.2118922611479;-7.63083720281;8186
-4.97728166666667;49.2259683333333;-12.2966973942682;-7.68382933138147;8201
-4.98197;49.2242;-12.0768558584867;-7.84280189645308;8256
-4.98259166666667;49.223965;-12.0768558584867;-7.84280189645308;8262
-4.98463833333333;49.2231866666667;-12.2966973942682;-7.68382933138147;8287
-4.98993666666667;49.2211883333333;-12.2118922611479;-7.63083720281;8346
-4.99255166666667;49.2201833333333;-12.0768558584867;-7.84280189645308;8375
-4.99359166666667;49.2197733333333;-11.9929892815833;-7.78833830459654;8386
-4.99463833333333;49.21937;-12.1270879367892;-7.57784557960891;8405
-4.99724666666667;49.2183616666667;-12.1270879367892;-7.57784557960891;8430
-4.99776333333333;49.2181516666667;-12.2118922611479;-7.63083720281;8435
-4.99828166666667;49.2179466666667;-12.2574925635319;-7.3650445694495;8446
-4.99932333333333;49.2175433333333;-12.2574925635319;-7.3650445694495;8451
-5.00250166666667;49.2163866666667;-12.5070619789138;-6.93277766199271;8490
-5.00684333333333;49.2148766666667;-12.419599674559;-6.88429651502789;8540
-5.00782666666667;49.214545;-12.3321382043064;-6.83581583041354;8550
-5.01316;49.2127716666667;-12.4740913386371;-6.35586699635366;8608
-5.014845;49.2122266666667;-12.672996395681;-6.18103333695132;8630
-5.01529166666667;49.2120783333333;-12.672996395681;-6.18103333695132;8635
-5.015835;49.2119133333333;-12.672996395681;-6.18103333695132;8640
-5.01638;49.21175;-12.7789401429457;-5.95891765175994;8647
-5.01701333333333;49.211555;-12.7789401429457;-5.95891765175994;8652
-5.01910833333333;49.2109266666667;-12.8809913012506;-5.7349868225265;8676
-5.02074166666667;49.21045;-12.9791187848241;-5.50930906075086;8697
-5.02355833333333;49.2097066666667;-13.3502002769763;-5.12466174685106;8721
-5.03720833333333;49.20657;-13.5315733808528;-4.92508993341931;8868
-5.03905;49.2061983333333;-13.2587292971513;-5.35687435729808;8886
-5.04832333333333;49.2037;-10.4149923510237;-9.05361472520233;8985
-5.04989666666667;49.2030683333333;-9.68736276738579;-9.68736276738579;9006
-5.09466833333333;49.1689733333333;-11.7413879512359;-7.62494649021038;9723
-5.09866833333333;49.1673033333333;-11.703063888711;-7.31288594749231;9769
-5.09969;49.166905;-11.703063888711;-7.31288594749231;9783
-5.102755;49.1657733333333;-11.7878682130696;-7.36587757069339;9823
-5.10377333333333;49.165385;-11.7878682130696;-7.36587757069339;9830
-5.10480166666667;49.165005;-11.7878682130696;-7.36587757069339;9843
-5.10642666666667;49.164395;-11.7878682130696;-7.36587757069339;9863
-5.108905;49.1634666666667;-11.7878682130696;-7.36587757069339;9889
-5.11044;49.16289;-11.87267334619;-7.41886969926487;9905
-5.11159333333333;49.1625616666667;-11.87267334619;-7.41886969926487;9921
-5.11303;49.161935;-11.87267334619;-7.41886969926487;9936
-5.11508;49.1611666666667;-11.657520574514;-7.57048237894557;9963
-5.11712333333333;49.1603966666667;-11.87267334619;-7.41886969926487;9985
-5.11977333333333;49.1593983333333;-11.87267334619;-7.41886969926487;10015
-5.120725;49.15905;-11.87267334619;-7.41886969926487;10028
-5.12125166666667;49.15886;-11.87267334619;-7.41886969926487;10033
-5.12228666666667;49.15847;-11.87267334619;-7.41886969926487;10048
-5.12289833333333;49.15825;-11.9574784793103;-7.47186182783635;10057
