"x";"y";"vx";"vy";"t"
-4.772245;48.085125;-0.160562135894235;9.19859860473299;0
-4.77374333333333;48.0996583333333;-0.775686077206882;8.86613243299842;332
-4.77530833333333;48.1056066666667;-0.909397610491363;8.65234030001398;518
-4.77676333333333;48.1114666666667;-0.732108205833052;8.36803508395254;685
-4.77813333333333;48.116845;-0.909397610491363;8.65234030001398;782
-4.779855;48.1231983333333;-0.766970552803032;8.76651353321642;962
-4.78074333333333;48.1263733333333;-0.919850496692572;8.7517928689308;1017
-4.782545;48.1331433333333;-0.766970552803032;8.76651353321642;1190
-4.78375166666667;48.137905;-0.775686077206882;8.86613243299842;1305
-4.7851;48.1431866666667;-1.07245024521004;8.73440632375679;1443
-4.786275;48.148065;-1.08463710981635;8.83366037098146;1544
-4.787475;48.1533233333333;-1.08463710981635;8.83366037098146;1684
-4.78835666666667;48.158255;-0.476257221775377;9.08752914721356;1827
-4.78918;48.163595;-0.317585433305859;9.09445690711112;1949
-4.790005;48.1693833333333;-0.314095470322507;8.99451744317186;2090
-4.79085333333333;48.1748233333333;-0.476257221775377;9.08752914721356;2225
-4.79171166666667;48.18022;-0.627808263697123;8.97807645233842;2348
-4.79237166666667;48.185605;-0.314095470322507;8.99451744317186;2468
-4.79321333333333;48.1914316666667;-0.634783937681518;9.07783323790489;2607
-4.79407;48.1968433333333;-0.15707165793556;8.99862925640752;2747
-4.795285;48.2022683333333;-0.801832816654818;9.164991032435;2858
-4.79655166666667;48.2080383333333;-0.793117292250968;9.065372132653;3000
-4.79766666666667;48.2131633333333;-0.641759545140956;9.17758907212014;3124
-4.79941;48.2185283333333;-1.45484055471166;9.18550175592138;3243
-4.8012;48.2234766666667;-1.5801984830106;8.96175092808544;3363
-4.80298333333333;48.2283883333333;-1.28039250228744;9.1104660435438;3485
-4.80490166666667;48.2337283333333;-1.26647527182692;9.01143980330558;3647
-4.806965;48.2390983333333;-1.43919704853262;9.08673254508867;3788
-4.808925;48.2444366666667;-1.43919704853262;9.08673254508867;3887
-4.81101333333333;48.250175;-1.45484055471166;9.18550175592138;4020
-4.811805;48.2552766666667;0.491957968719089;9.38711724574606;4143
-4.81104833333333;48.260375;1.93357876426117;9.09677287339124;4287
-4.809555;48.2659083333333;2.40701716881926;8.98311036872407;4385
-4.80790666666667;48.271335;2.38113516557738;8.8865174176237;4513
-4.80701;48.27423;2.20148934224286;8.82969147925001;4591
-4.80551;48.2791683333333;2.17729706039701;8.73266153648397;4732
-4.80395;48.2844116666667;2.32937140592269;8.69333243660162;4868
-4.80247333333333;48.290035;1.93457915316926;8.37958292884571;4983
-4.80133166666667;48.29505;2.03214383075133;8.15048373057992;5117
-4.79868333333333;48.3009766666667;2.9386171179182;7.65535931921072;5267
-4.79582166666667;48.3057716666667;2.44123428503224;7.51334656943153;5417
-4.794445;48.3101666666667;0.914020075538606;7.44409613730991;5534
-4.79454666666667;48.3144833333333;-0.251276369601455;7.19561376391882;5687
-4.79538333333333;48.3185483333333;-0.116931119801023;6.69897936684201;5827
-4.79618833333333;48.3225883333333;-0.540365588411843;6.17640693815976;5947
-4.79765833333333;48.3261133333333;-1.34970632606319;5.84622038871141;6084
-4.79944833333333;48.329475;-1.57879615044247;5.89214744824545;6210
-4.80138666666667;48.3329333333333;-2.01852249553718;5.86221498837241;6325
-4.80338;48.3362433333333;-1.66651866115412;5.45093692658865;6479
-4.80524833333333;48.3397183333333;-1.14485397225927;5.88976310068598;6604
-4.80661333333333;48.343535;-1.10669220957789;5.69343785122698;6784
-4.80774;48.346765;-0.793286648927213;5.64452780294831;6863
-4.808965;48.34993;-0.876032989306541;5.53105461313947;7026
-4.80978;48.35301;-0.496787717038014;5.67830958911389;7107
-4.8107;48.356525;-0.670281388728315;5.45900383402727;7250
-4.81098333333333;48.35994;0.505503324560056;5.77792943894118;7383
-4.81127;48.36321;-0.287847759336194;5.49246244115016;7537
-4.81196166666667;48.3667833333333;-0.111695402863012;6.39902534435381;7664
-4.812495;48.3703633333333;-0.116931119801023;6.69897936684201;7781
-4.81300166666667;48.37454;-0.24778642325948;7.09567477652624;7903
