"x";"y";"vx";"vy";"t"
-3.845555;49.6798233333333;-6.77162175729253;-4.06880084090729;0
-3.909855;49.6519066666667;-6.95399422673036;-4.3453378656382;1332
-3.91819;49.648275;-7.1236036842093;-4.45132161741077;1497
-3.92960833333333;49.64332;-7.20020499891437;-4.32631963277302;1732
-3.93160833333333;49.6424583333333;-6.96391529320961;-4.69722017583911;1772
-3.93215333333333;49.6422183333333;-7.04483245081413;-4.57496768636292;1777
-3.93260166666667;49.64205;-7.1236036842093;-4.45132161741077;1788
-3.933615;49.6415833333333;-7.1236036842093;-4.45132161741077;1812
-3.934125;49.64137;-7.04483245081413;-4.57496768636292;1820
-3.93458166666667;49.6411766666667;-7.04483245081413;-4.57496768636292;1827
-3.95800666666667;49.6307666666667;-7.1286998275361;-4.62943179762773;2298
-3.95840333333333;49.630585;-7.04483245081413;-4.57496768636292;2308
-3.97696666666667;49.6220433333333;-7.21256720425808;-4.68389590889254;2677
-4.05709;49.5901666666667;-7.85823323962667;-4.17829672970524;4188
-4.09661833333333;49.5763666666667;-7.94652833573034;-4.22524406507302;4892
-4.18236833333333;49.5461133333333;-8.21141278199691;-4.36608562345338;6391
-4.18295333333333;49.54591;-8.21141278199691;-4.36608562345338;6397
-4.183535;49.5457;-8.21141278199691;-4.36608562345338;6409
-4.18586;49.544855;-8.21141278199691;-4.36608562345338;6452
-4.19750333333333;49.540725;-8.12311768589324;-4.3191382880856;6652
-4.20908333333333;49.5365966666667;-8.21141278199691;-4.36608562345338;6848
-4.27841166666667;49.5096816666667;-8.14308935667007;-4.89286171164552;8062
-4.280165;49.5089933333333;-8.05737229961648;-4.84135770768308;8087
-4.28302333333333;49.5078366666667;-8.22724133595217;-4.75;8139
-4.28651166666667;49.506435;-8.14308935667007;-4.89286171164552;8199
-4.28762333333333;49.5060083333333;-8.31384420669308;-4.80000019073487;8221
-4.30161666666667;49.5005383333333;-8.31384420669308;-4.80000019073487;8459
-4.30338166666667;49.4998616666667;-8.22880641372365;-4.94436571560796;8491
-4.30454833333333;49.4994016666667;-8.14308935667007;-4.89286171164552;8509
-4.30635666666667;49.4986966666667;-8.22880641372365;-4.94436571560796;8538
-4.3251;49.4913633333333;-8.31384420669308;-4.80000019073487;8858
-4.33510666666667;49.487695;-8.22724133595217;-4.75;9030
-4.33687;49.48707;-8.22142491346938;-4.55721024537537;9062
-4.338095;49.4866233333333;-8.14063846521125;-4.69999980926514;9082
-4.33862833333333;49.4864433333333;-8.14063846521125;-4.69999980926514;9091
-4.339845;49.4859933333333;-8.14063846521125;-4.69999980926514;9110
-4.34036333333333;49.485805;-8.14063846521125;-4.69999980926514;9119
-4.34211833333333;49.48514;-8.14063846521125;-4.69999980926514;9147
-4.34277333333333;49.4849216666667;-8.14063846521125;-4.69999980926514;9161
-4.34395166666667;49.4844883333333;-8.14063846521125;-4.69999980926514;9180
-4.34453666666667;49.4842716666667;-8.14063846521125;-4.69999980926514;9191
-4.34565833333333;49.4838783333333;-8.22724133595217;-4.75;9210
-4.34810666666667;49.482995;-8.31384420669308;-4.80000019073487;9250
-4.34916;49.482605;-8.22724133595217;-4.75;9267
-4.35040166666667;49.48215;-8.22724133595217;-4.75;9287
-4.35105166666667;49.481915;-8.22724133595217;-4.75;9302
-4.35341;49.4810633333333;-8.22142491346938;-4.55721024537537;9339
-4.35394833333333;49.4808716666667;-8.22724133595217;-4.75;9351
-4.36523833333333;49.4767383333333;-8.48381099243167;-4.70265322391937;9540
-4.36698166666667;49.476105;-8.31384420669308;-4.80000019073487;9569
-4.37048833333333;49.47482;-8.05403642037651;-4.65000009536744;9629
-4.393435;49.4663266666667;-7.88593900296774;-4.73835019093678;10028
-4.395655;49.4655133333333;-7.9674335496356;-4.59999990463257;10068
-4.39621833333333;49.4653033333333;-7.9674335496356;-4.59999990463257;10081
-4.397405;49.4648483333333;-7.9674335496356;-4.59999990463257;10101
-4.39964666666667;49.4640183333333;-7.9674335496356;-4.59999990463257;10140
-4.40085833333333;49.4636;-7.88593900296774;-4.73835019093678;10160
-4.402515;49.4629666666667;-7.80204232288678;-4.87525712987141;10188
-4.40650833333333;49.461435;-7.88593900296774;-4.73835019093678;10258
-4.40987833333333;49.4601133333333;-7.88593900296774;-4.73835019093678;10321
-4.41154;49.459505;-7.88593900296774;-4.73835019093678;10348
-4.41223833333333;49.4592516666667;-7.97165606002133;-4.78985419489922;10362
-4.41274666666667;49.4590483333333;-7.8868474560071;-4.92824925844288;10369
-4.41385333333333;49.4585966666667;-7.88593900296774;-4.73835019093678;10389
-4.41442333333333;49.458375;-7.97165606002133;-4.78985419489922;10399
-4.41499166666667;49.45817;-7.9674335496356;-4.59999990463257;10408
-4.415615;49.4579466666667;-7.9674335496356;-4.59999990463257;10418
-4.41613666666667;49.4577516666667;-7.88593900296774;-4.73835019093678;10430
-4.41672333333333;49.4575366666667;-7.88593900296774;-4.73835019093678;10441
-4.41786833333333;49.4571033333333;-7.97165606002133;-4.78985419489922;10458
-4.41837333333333;49.456925;-7.9674335496356;-4.59999990463257;10468
-4.41905666666667;49.4566633333333;-8.05403642037651;-4.65000009536744;10481
-4.41956833333333;49.4564816666667;-7.97165606002133;-4.78985419489922;10490
-4.42016333333333;49.456265;-7.97165606002133;-4.78985419489922;10496
-4.42182;49.4556266666667;-7.97165606002133;-4.78985419489922;10526
-4.42251;49.455395;-7.97165606002133;-4.78985419489922;10539
-4.42360666666667;49.45498;-7.97165606002133;-4.78985419489922;10559
-4.42418333333333;49.45476;-7.97165606002133;-4.78985419489922;10568
-4.42475666666667;49.4545433333333;-7.97165606002133;-4.78985419489922;10579
-4.42758666666667;49.453445;-7.88593900296774;-4.73835019093678;10629
-4.428215;49.45322;-8.05403642037651;-4.65000009536744;10638
-4.43389666666667;49.4510416666667;-7.97165606002133;-4.78985419489922;10739
-4.43440166666667;49.4508516666667;-8.05403642037651;-4.65000009536744;10749
-4.43623833333333;49.45016;-7.97165606002133;-4.78985419489922;10780
-4.43673833333333;49.449955;-7.8868474560071;-4.92824925844288;10789
-4.43729833333333;49.4497133333333;-7.8868474560071;-4.92824925844288;10799
-4.43849166666667;49.44926;-8.13396344321685;-4.50872956076103;10821
-4.43899666666667;49.44907;-8.05403642037651;-4.65000009536744;10830
-4.44188166666667;49.4479216666667;-7.88593900296774;-4.73835019093678;10877
-4.44244;49.447715;-8.05403642037651;-4.65000009536744;10892
-4.44352666666667;49.44733;-7.88593900296774;-4.73835019093678;10911
-4.44410833333333;49.4470983333333;-7.80204232288678;-4.87525712987141;10917
-4.44461;49.44689;-7.80204232288678;-4.87525712987141;10928
-4.44581833333333;49.4464083333333;-7.88593900296774;-4.73835019093678;10952
-4.44746833333333;49.4457833333333;-7.97165606002133;-4.78985419489922;10978
-4.45031666666667;49.4446416666667;-7.88593900296774;-4.73835019093678;11027
-4.451425;49.4442166666667;-8.05403642037651;-4.65000009536744;11049
-4.45206833333333;49.44397;-7.97165606002133;-4.78985419489922;11059
-4.45371833333333;49.443305;-8.05403642037651;-4.65000009536744;11087
-4.45485166666667;49.442865;-7.97165606002133;-4.78985419489922;11108
-4.45547833333333;49.4426216666667;-7.88593900296774;-4.73835019093678;11121
-4.45661333333333;49.4421766666667;-7.97165606002133;-4.78985419489922;11141
-4.45827333333333;49.441515;-7.97165606002133;-4.78985419489922;11169
-4.47415;49.43536;-7.97165606002133;-4.78985419489922;11447
-4.475265;49.4348483333333;-8.05737229961648;-4.84135770768308;11472
-4.47756333333333;49.43401;-7.97165606002133;-4.78985419489922;11510
-4.47969666666667;49.4331583333333;-7.97165606002133;-4.78985419489922;11547
-4.49387666666667;49.4276316666667;-7.9674335496356;-4.59999990463257;11798
-4.49444833333333;49.4274183333333;-7.88593900296774;-4.73835019093678;11830
-4.50575;49.4231033333333;-7.88593900296774;-4.73835019093678;12010
-4.50798666666667;49.4222633333333;-7.88593900296774;-4.73835019093678;12053
-4.508505;49.4220666666667;-7.88593900296774;-4.73835019093678;12065
-4.51145;49.4209933333333;-7.97165606002133;-4.78985419489922;12108
-4.51201166666667;49.4207483333333;-7.8868474560071;-4.92824925844288;12118
-4.512625;49.4205066666667;-7.8868474560071;-4.92824925844288;12128
-4.51145;49.4209933333333;-7.97165606002133;-4.78985419489922;12137
-4.51201166666667;49.4207483333333;-7.8868474560071;-4.92824925844288;12144
-4.512625;49.4205066666667;-7.8868474560071;-4.92824925844288;12154
-4.51484;49.4196683333333;-8.05737229961648;-4.84135770768308;12166
-4.51540833333333;49.41944;-7.97165178036573;-4.98124088164397;12181
-4.51603666666667;49.41919;-7.97165606002133;-4.78985419489922;12190
-4.51426166666667;49.4198733333333;-8.05403642037651;-4.65000009536744;12195
-4.51484;49.4196683333333;-8.05737229961648;-4.84135770768308;12205
-4.51771833333333;49.41857;-7.97165606002133;-4.78985419489922;12218
-4.51829833333333;49.4183716666667;-7.97165606002133;-4.78985419489922;12228
-4.51603666666667;49.41919;-7.97165606002133;-4.78985419489922;12234
-4.51771833333333;49.41857;-7.97165606002133;-4.78985419489922;12256
-4.51829833333333;49.4183716666667;-7.97165606002133;-4.78985419489922;12268
-4.52116166666667;49.4172633333333;-7.97165606002133;-4.78985419489922;12277
-4.52231166666667;49.4168083333333;-8.05737229961648;-4.84135770768308;12298
