"x";"y";"vx";"vy";"t"
-5.27454166666667;49.100095;-10.0313549441687;-6.76623434531121;0
-5.30788833333333;49.0864033333333;-9.28522065449009;-6.26296041221479;468
-5.32911333333333;49.0775166666667;-9.36812472799834;-6.31887991587703;781
-5.34574666666667;49.0706383333333;-9.2023173716137;-6.20704144184046;1046
-5.35362833333333;49.0672416666667;-9.03650922459721;-6.09520243451598;1157
-5.36790833333333;49.061145;-10.0313549441687;-6.76623434531121;1356
-5.37743;49.0572316666667;-9.9484508706605;-6.71031484164897;1505
-5.39607;49.04967;-9.66599427885095;-6.76820205834337;1794
-5.43463166666667;49.033185;-9.66599427885095;-6.76820205834337;2307
-5.46165833333333;49.0214366666667;-9.74790901455729;-6.82555937377541;2685
-5.47117333333333;49.0172466666667;-10.2394005536124;-7.16970545438808;2817
-5.482625;49.0122266666667;-9.74790901455729;-6.82555937377541;2971
-5.49132833333333;49.008415;-10.2800655834298;-6.9339917897221;3108
-5.50019;49.0044283333333;-9.74790901455729;-6.82555937377541;3233
-5.50849166666667;49.0009133333333;-9.8298245314679;-6.88291723621256;3349
-5.51870833333333;48.9963866666667;-9.50216402623401;-6.65348688047418;3517
-5.52666333333333;48.9928916666667;-9.17450273979585;-6.4240559777307;3648
-5.53446333333333;48.98948;-9.69973944076762;-6.54255686395016;3738
-5.54362166666667;48.9856266666667;-9.58407876194035;-6.71084419590622;3867
-5.55385333333333;48.9810266666667;-9.54640068793212;-6.93586608916232;4022
-5.56629166666667;48.9755766666667;-10.1765771538771;-6.35903117079846;4215
-5.57746;48.97107;-10.5672494760398;-6.86245204895264;4355
-5.58958166666667;48.9658933333333;-10.3156481456924;-6.69906023456648;4515
-5.60445833333333;48.9596416666667;-10.7349834296651;-6.971379752074;4735
-5.62145333333333;48.9524583333333;-10.3461866113561;-6.46501492257102;4958
-5.63095833333333;48.94841;-9.58294364831995;-5.9880877869093;5081
-5.64201;48.9436066666667;-9.60027360437197;-5.76842634075689;5255
-5.64748833333333;48.9413766666667;-9.60027360437197;-5.76842634075689;5358
-5.65651666666667;48.9375983333333;-9.52627944162882;-5.50000000000001;5478
-5.66466666666667;48.93436;-9.7717069010207;-5.87143385750319;5606
-5.67758333333333;48.928985;-9.08597371442576;-5.45940379051801;5796
-5.687845;48.9247216666667;-8.48048096156426;-5.29919264233205;5980
-5.69527166666667;48.92163;-9.00025665737218;-5.40789978655557;6107
-5.70538;48.9174866666667;-9.08597371442576;-5.45940379051801;6270
-5.718015;48.9123683333333;-9.68599066142555;-5.81993034471933;6443
-5.73562166666667;48.905325;-9.413334190841;-5.88210403513673;6717
-5.74747833333333;48.900545;-9.51455736477682;-5.71692282797304;6883
-5.75747666666667;48.8965966666667;-9.85742395807429;-5.92293786146563;7022
-5.76783666666667;48.8925633333333;-9.85742395807429;-5.92293786146563;7172
-5.78341666666667;48.88639;-10.3717246654789;-6.23196090288309;7408
-5.794365;48.882065;-9.87268927278012;-5.69999980926514;7547
-5.80371333333333;48.8783666666667;-8.85946366415181;-7.17425221790147;7712
-5.81186166666667;48.873325;-7.30011677624479;-9.01489344935852;7882
-5.818585;48.8677583333333;-7.42598073442142;-9.17032249342108;7951
-5.82603166666667;48.8607416666667;-6.43071838991359;-9.53393208438298;8124
-5.83138;48.8554533333333;-6.31887991587702;-9.36812472799834;8240
-5.837195;48.8493133333333;-5.77611977799378;-9.24372392460037;8418
-5.84475666666667;48.8396166666667;-4.90309748377892;-9.62287063118038;8590
-5.849535;48.8333083333333;-5.77611977799378;-9.24372392460037;8738
-5.85578;48.8253733333333;-4.88250407388408;-9.18265462891506;8912
-5.86044666666667;48.8190266666667;-4.79961505549854;-8.65873476703908;9106
-5.864745;48.8132466666667;-4.84809620246337;-8.74619707139396;9246
-5.86939;48.8072483333333;-5.09050101258654;-9.18350692496366;9365
-5.874335;48.8007666666667;-5.13898215955136;-9.27096922931854;9507
-5.879215;48.7942516666667;-5.34999990463257;-9.26647165531226;9657
-5.88458;48.7875183333333;-4.7511343708842;-8.57127329678655;9857
-5.89101833333333;48.77932;-5;-8.66025403784439;10017
-5.89532333333333;48.7738466666667;-4.8965773494282;-8.83365937574884;10133
-5.90019333333333;48.7676533333333;-5.35639578259313;-8.91453960031859;10288
-5.90414;48.7627316666667;-5.15038074910054;-8.57167300702112;10408
-5.90933333333333;48.7564533333333;-5.35639578259313;-8.91453960031859;10583
-5.91357666666667;48.7513883333333;-4.99353918100737;-9.00858315035625;10691
-5.91777833333333;48.7459566666667;-5.0988767451381;-8.48595594996754;10814
-5.92205666666667;48.74108;-5.15000009536743;-8.92006182416096;10924
-5.92807666666667;48.7337866666667;-5.30000019073486;-9.17986961047752;11136
-5.93300333333333;48.727865;-5.44999980926514;-9.43967657088791;11272
-5.93824833333333;48.721715;-5.13898215955136;-9.27096922931854;11372
-5.94483666666667;48.7139266666667;-5.40789978655557;-9.00025665737218;11562
-5.94911833333333;48.7089316666667;-4.99353918100737;-9.00858315035625;11703
-5.95426333333333;48.70272;-5.05000019073486;-8.7468569085853;11832
-5.95905;48.6970016666667;-5.09999990463257;-8.83345895342004;11966
-5.98197666666667;48.670485;-5.59999990463257;-9.69948435720448;12573
-6.00348166666667;48.6460516666667;-4.85769826062133;-9.53376963886953;13152
-6.00822833333333;48.6402016666667;-5.1641871906448;-9.7124235214482;13282
-6.016285;48.6302133333333;-5.30502874902516;-9.97730796771476;13506
-6.05704166666667;48.57983;-5.28442467574488;-9.53335447417847;14638
-6.09372333333333;48.5339783333333;-5.22089074700478;-10.2465750281662;15627
