"x";"y";"vx";"vy";"t"
-5.28974;49.1015866666667;-15.830617032864;-8.77505431139889;0
-5.29905833333333;49.0980566666667;-15.830617032864;-8.77505431139889;86
-5.34157333333333;49.0817883333333;-15.830617032864;-8.77505431139889;471
-5.34213166666667;49.08158;-15.830617032864;-8.77505431139889;478
-5.35273833333333;49.0775116666667;-15.830617032864;-8.77505431139889;572
-5.35395;49.0770533333333;-15.830617032864;-8.77505431139889;582
-5.362765;49.0736466666667;-15.830617032864;-8.77505431139889;661
-5.36320833333333;49.0734783333333;-15.830617032864;-8.77505431139889;669
-5.37397333333333;49.069375;-15.830617032864;-8.77505431139889;764
-5.37607333333333;49.06856;-15.830617032864;-8.77505431139889;781
-5.39894;49.0597966666667;-15.7431547285091;-8.72657316443406;992
-5.41681666666667;49.0529533333333;-15.9813517675644;-8.49743546551381;1152
-5.46299333333333;49.0357;-15.6556924241542;-8.67809201746924;1572
-5.47834333333333;49.0299766666667;-15.5682301197994;-8.62961087050441;1718
-5.49598666666667;49.0234116666667;-15.6556924241542;-8.67809201746924;1872
-5.50382333333333;49.020475;-15.6556924241542;-8.67809201746924;1947
-5.50702833333333;49.0193033333333;-15.6556924241542;-8.67809201746924;1976
-5.51119;49.0177916666667;-15.5682301197994;-8.62961087050441;2011
-5.513705;49.0168633333333;-15.5682301197994;-8.62961087050441;2036
-5.52165833333333;49.0139316666667;-15.5682301197994;-8.62961087050441;2107
-5.52340166666667;49.0132866666667;-15.5682301197994;-8.62961087050441;2127
-5.53599166666667;49.008645;-15.5682301197994;-8.62961087050441;2238
-5.545815;49.0050416666667;-15.5682301197994;-8.62961087050441;2328
-5.54842666666667;49.00407;-15.5682301197994;-8.62961087050441;2356
-5.552935;49.0024033333333;-15.5682301197994;-8.62961087050441;2396
-5.55435666666667;49.0018733333333;-15.5682301197994;-8.62961087050441;2410
-5.55512333333333;49.0015783333333;-15.5682301197994;-8.62961087050441;2421
-5.56815333333333;48.996735;-15.5682301197994;-8.62961087050441;2536
-5.57531166666667;48.9940716666667;-15.5682301197994;-8.62961087050441;2599
-5.57780833333333;48.9931283333333;-15.5682301197994;-8.62961087050441;2627
-5.57900166666667;48.9926716666667;-15.5682301197994;-8.62961087050441;2635
-5.601935;48.9839716666667;-15.5682301197994;-8.62961087050441;2846
