"x";"y";"vx";"vy";"t"
-4.58583333333333;49.3606666666667;-8.14126204660636;-5.08722513878693;0
-4.81033333333333;49.278;-8.39567582844394;-5.24620051376057;3619
-4.82983333333333;49.2706666666667;-8.56528609468458;-5.35218477090353;3961
-4.84083333333333;49.2665;-8.48048096156426;-5.29919264233205;4129
-4.891;49.2476666666667;-8.38670567945424;-5.44639035015027;4969
-4.982;49.214;-8.21897172582887;-5.33746264702892;6443
-5.00016666666667;49.2073333333333;-8.30283830273227;-5.39192623888546;6747
-5.0145;49.2018333333333;-7.87585693927289;-5.3123325829721;6977
-5.02616666666667;49.1973333333333;-8.0512377722035;-5.22853494390756;7188
-5.0495;49.1885;-7.79295286576465;-5.25641307930986;7588
-5.06416666666667;49.1828333333333;-7.46416773478684;-4.84728720387044;7844
-5.07766666666667;49.1778333333333;-7.62714550938001;-5.14457460527329;8075
-5.09266666666667;49.1721666666667;-7.95876101278113;-5.36825208663434;8346
-5.11133333333333;49.165;-8.12456836916577;-5.4800905606709;8676
-5.1195;49.1618333333333;-7.96737039548153;-5.17407083264276;8810
-5.1275;49.1588333333333;-7.88350301875955;-5.11960672137795;8948
-5.135;49.156;-7.60475943850901;-5.52518114732697;9068
-5.14366666666667;49.1526666666667;-7.79295286576465;-5.25641307930986;9216
-5.14883333333333;49.1506666666667;-7.79295286576465;-5.25641307930986;9347
-5.156;49.1478333333333;-7.79963644185616;-5.0651431295214;9439
-5.16266666666667;49.1451666666667;-7.62714550938001;-5.14457460527329;9569
-5.17066666666667;49.142;-7.61811416812847;-5.33426096746575;9713
-5.17833333333333;49.1391666666667;-7.37843407948713;-4.97681662757449;9847
-5.18466666666667;49.1366666666667;-7.54424222650361;-5.08865563489896;9979
-5.19266666666667;49.1336666666667;-7.71576906513419;-5.0106790182566;10115
-5.20933333333333;49.1275;-7.46133815299537;-5.03273613123673;10409
-5.216;49.1251666666667;-7.54803511150882;-4.90175131513524;10526
-5.22333333333333;49.1225;-7.63190248823079;-4.95621542640005;10673
-5.22983333333333;49.12;-7.38030115788345;-4.79282361201389;10804
-5.23633333333333;49.1176666666667;-7.21262672310249;-4.86497815353792;10899
-5.24383333333333;49.115;-7.12972344022609;-4.80905918316359;11041
-5.25066666666667;49.1123333333333;-7.29643378116147;-4.73835950074908;11181
-5.2575;49.1098333333333;-7.29553079661073;-4.92089765720016;11292
-5.26566666666667;49.1068333333333;-7.29321395044994;-4.55730587455372;11448
-5.272;49.1043333333333;-7.29553079661073;-4.92089765720016;11560
-5.27816666666667;49.102;-7.21256720425808;-4.68389590889254;11701
-5.28666666666667;49.0988333333333;-7.21256720425808;-4.68389590889254;11857
-5.29366666666667;49.096;-7.21262672310249;-4.86497815353792;11977
-5.30083333333333;49.0931666666667;-7.04681936671785;-4.75313967950135;12111
-5.3075;49.0906666666667;-7.1286998275361;-4.62943179762773;12239
-5.31533333333333;49.0876666666667;-7.04681936671785;-4.75313967950135;12406
-5.3215;49.0851666666667;-6.96391529320961;-4.69722017583911;12515
-5.32816666666667;49.0825;-7.37163911302154;-4.4293276406979;12638
-5.3345;49.0801666666667;-7.21256720425808;-4.68389590889254;12772
-5.34116666666667;49.0776666666667;-7.04681936671785;-4.75313967950135;12892
-5.34783333333333;49.075;-6.96391529320961;-4.69722017583911;13036
-5.355;49.0721666666667;-7.12972344022609;-4.80905918316359;13190
-5.362;49.0693333333333;-6.88087685954582;-4.81804184654674;13316
-5.3685;49.0668333333333;-6.88101201033321;-4.64130120546478;13462
-5.3745;49.0645;-6.63513187122254;-4.64596935324552;13556
-5.39333333333333;49.057;-6.71704660692888;-4.70332666867756;13961
-5.40733333333333;49.0516666666667;-6.47213595499958;-4.70228201833979;14237
-5.42266666666667;49.0456666666667;-6.47213595499958;-4.70228201833979;14560
-5.492;49.0183333333333;-6.47130122800346;-4.53125390187378;16011
-5.52833333333333;49.0038333333333;-6.06762745781211;-4.40838939219355;16780
-5.53733333333333;49.0003333333333;-6.06172520585896;-4.24446568369825;16977
-5.5485;48.9961666666667;-6.14364033216744;-4.30182327263285;17219
-5.55516666666667;48.9936666666667;-6.39123433271596;-4.64350354916611;17371
-5.56366666666667;48.9903333333333;-6.38938610169499;-4.47389631293918;17556
-5.57;48.988;-6.06172520585896;-4.24446568369825;17688
-5.58433333333333;48.9825;-6.13487811597049;-4.13802753901232;18006
-5.5905;48.9801666666667;-5.81597943633141;-4.07239264339192;18154
-5.59666666666667;48.9778333333333;-5.96907036426993;-4.0261887983318;18276
-5.60283333333333;48.9755;-6.12229530596531;-3.97586505949135;18429
-5.61066666666667;48.9725;-5.65214918371447;-3.95767746552273;18611
-5.61833333333333;48.9695;-5.81597943633141;-4.07239264339192;18790
-5.62833333333333;48.9656666666667;-5.72035932969297;-3.85843108727695;19017
-5.65633333333333;48.9548333333333;-6.21778179416281;-4.1939467760306;19675
-5.66683333333333;48.9506666666667;-5.96907036426993;-4.0261887983318;19950
-5.93166666666667;48.5966666666667;3.36028785405985;-7.91634209083572;32360
-5.87583333333333;48.5265;4.16936291905869;-7.52172981503974;34384
-5.86466666666667;48.511;4.02391994051469;-7.25934373607746;34859
-5.8395;48.4783333333333;4.02738635763532;-6.44516544991267;35823
-5.82216666666667;48.4561666666667;4.0803782335216;-6.52997017865214;36528
-5.81316666666667;48.4445;4.12030459928044;-6.8573384056169;36874
-5.808;48.4375;3.91428932019855;-6.51447140359021;37105
-5.8045;48.4326666666667;4.08210830199403;-6.05197443777817;37239
-5.80133333333333;48.4283333333333;3.59461757915835;-5.53522566845794;37411
-5.79566666666667;48.4201666666667;3.29624372854221;-5.48587080623936;37712
-5.79233333333333;48.4155;3.57883463554157;-5.30584054341545;37883
-5.78966666666667;48.4118333333333;3.26938557779994;-4.6691664962064;38016
-5.78416666666667;48.4041666666667;3.01964173207082;-4.47680297086041;38373
-5.78083333333333;48.3996666666667;3.09731281099616;-4.42342111728098;38589
-5.776;48.3936666666667;3.6133053381511;-4.01298212844974;38854
-5.77216666666667;48.3891666666667;3.53533185327597;-4.21324443715438;39059
-5.76766666666667;48.384;3.46126215077411;-4.27430278801334;39325
-5.76433333333333;48.38;3.52419412986242;-4.35201731004462;39459
-5.76133333333333;48.3761666666667;3.08366997616087;-3.80801528525357;39654
-5.75866666666667;48.3731666666667;3.59961055294362;-4.28984880841058;39815
-5.75533333333333;48.3688333333333;3.40677445394067;-4.06003569464197;40002
-5.75083333333333;48.363;3.6133053381511;-4.01298212844974;40235
-5.7475;48.3586666666667;3.41150682561731;-3.92448967320899;40440
-5.74283333333333;48.3526666666667;3.67695512730013;-3.67695512730013;40729
-5.7405;48.3498333333333;3.53553390593274;-3.53553390593274;40889
-5.73783333333333;48.3468333333333;3.68279120937792;-3.94931005849084;41009
-5.734;48.3425;3.61459143841211;-3.87617475807625;41233
-5.73016666666667;48.338;3.47329185229499;-3.59669900169326;41416
-5.72366666666667;48.3303333333333;3.67695512730013;-3.67695512730013;41797
-5.71983333333333;48.3258333333333;3.40382608149687;-3.52476509026098;42029
-5.717;48.3226666666667;3.65676850809585;-3.40999180031249;42180
-5.71316666666667;48.3185;3.39411268456534;-3.39411268456534;42425
-5.71066666666667;48.316;3.27359225838086;-3.51049790726667;42572
-5.708;48.313;3.06899262028124;-3.29109165728627;42719
-5.705;48.3095;3.53553390593274;-3.53553390593274;42903
-5.7025;48.3068333333333;3.40382608149687;-3.52476509026098;43051
-5.69983333333333;48.3036666666667;3.40382608149687;-3.52476509026098;43193
-5.69733333333333;48.3008333333333;3.05649689626737;-3.16509519009165;43350
